order_id,user_id,product_id,order_date,quantity,discount_ratio,pay_date
1.0,960.0,17.0,2023-02-07,6.0,0.004746217207525428,2023-02-09
6.0,1447.0,6.0,2023-01-12,6.0,0.008239835834149112,2023-01-14
14.0,1325.0,17.0,2023-02-15,6.0,0.039391257342177216,
17.0,102.0,1.0,2023-02-20,6.0,0.007944249196417858,2023-02-26
38.0,94.0,8.0,2023-02-11,6.0,0.014036972037856579,2023-02-13
56.0,261.0,6.0,2023-01-04,6.0,0.018263077737279112,2023-01-06
63.0,1402.0,13.0,2023-01-25,6.0,0.023147200713443717,2023-01-27
76.0,542.0,19.0,2023-01-05,6.0,0.01054940744719537,2023-01-05
108.0,444.0,8.0,2023-01-11,6.0,0.022541780098025613,2023-01-11
133.0,1201.0,8.0,2023-01-12,6.0,0.02946240407494364,
136.0,961.0,6.0,2023-01-21,6.0,0.0272340453220625,2023-01-23
150.0,400.0,17.0,2023-01-18,6.0,0.018601656242320037,2023-01-20
169.0,677.0,8.0,2023-02-09,6.0,0.0005930222223518013,2023-02-11
200.0,612.0,8.0,2023-02-25,6.0,0.003047956713779343,
207.0,1245.0,11.0,2023-01-20,6.0,0.005797775650286691,
212.0,1284.0,13.0,2023-01-21,6.0,0.017526934712881886,
218.0,1121.0,19.0,2023-01-16,6.0,0.007785035412596451,2023-01-18
223.0,1351.0,19.0,2023-02-23,6.0,0.011561420500706954,2023-02-23
247.0,650.0,1.0,2023-01-15,6.0,0.004908607605503391,
267.0,826.0,17.0,2023-01-31,6.0,0.025076941613547284,2023-02-06
279.0,85.0,19.0,2023-01-01,6.0,0.002436109132601042,
289.0,913.0,8.0,2023-01-28,6.0,0.013836754808601229,2023-02-03
297.0,65.0,17.0,2023-02-05,6.0,0.015809183332628214,2023-02-07
316.0,272.0,11.0,2023-01-16,6.0,0.011257315731250956,2023-01-22
353.0,1482.0,8.0,2023-01-17,6.0,0.024973043902015005,2023-01-21
365.0,564.0,11.0,2023-02-16,6.0,0.013370984931212053,2023-02-17
385.0,1440.0,6.0,2023-01-30,6.0,0.003647626166637463,2023-02-02
404.0,1129.0,15.0,2023-02-18,6.0,0.009638173920736414,
405.0,973.0,4.0,2023-01-06,6.0,0.0014570612604462051,2023-01-07
414.0,1428.0,13.0,2023-01-26,6.0,0.015925812997726833,
428.0,533.0,13.0,2023-02-22,6.0,0.01648831137333484,
430.0,341.0,4.0,2023-01-07,6.0,0.015602372700163798,
440.0,419.0,9.0,2023-01-24,6.0,0.03136249347357931,2023-01-30
444.0,1492.0,11.0,2023-01-29,6.0,0.01845195514281249,
471.0,1486.0,8.0,2023-02-11,6.0,0.0006315791188825479,2023-02-17
487.0,547.0,8.0,2023-02-27,6.0,0.023982272210498336,
491.0,266.0,5.0,2023-01-19,6.0,0.0017855093873223769,2023-01-20
496.0,1433.0,3.0,2023-02-10,6.0,0.02595409314848001,2023-02-13
514.0,689.0,3.0,2023-02-07,6.0,0.03470308934043183,2023-02-07
524.0,405.0,4.0,2023-02-06,6.0,0.017522417286262804,2023-02-08
526.0,144.0,10.0,2023-01-12,6.0,0.0029574857556281193,2023-01-15
528.0,1172.0,8.0,2023-02-02,6.0,0.00629114037175356,2023-02-04
564.0,1141.0,13.0,2023-01-24,6.0,0.012655806038622892,
609.0,808.0,19.0,2023-01-03,6.0,0.013040160821208372,
624.0,1445.0,10.0,2023-02-13,6.0,0.006568152963060397,2023-02-17
648.0,554.0,3.0,2023-02-28,6.0,0.017860055436972506,
649.0,1110.0,4.0,2023-01-18,6.0,0.03246017461666609,
661.0,920.0,6.0,2023-02-07,6.0,0.011683752579346843,2023-02-12
670.0,1159.0,11.0,2023-02-16,6.0,0.022102380462482515,2023-02-17
680.0,274.0,13.0,2023-02-07,6.0,0.030622231015575537,2023-02-07
682.0,1240.0,13.0,2023-02-07,6.0,0.018576474763899484,2023-02-08
714.0,85.0,10.0,2023-02-21,6.0,0.022111544149318842,2023-02-28
753.0,623.0,2.0,2023-01-28,6.0,0.04671535253445317,
760.0,1107.0,10.0,2023-01-23,6.0,0.018880406491433535,2023-01-24
788.0,227.0,17.0,2023-01-08,6.0,0.011645675250895401,2023-01-08
790.0,33.0,9.0,2023-01-15,6.0,0.003100356241344489,2023-01-19
794.0,1069.0,3.0,2023-01-02,6.0,0.003499612772069829,2023-01-02
799.0,738.0,10.0,2023-02-04,6.0,0.015088368317647016,2023-02-08
813.0,1178.0,13.0,2023-01-05,6.0,0.004994514021531972,2023-01-06
822.0,1098.0,1.0,2023-02-28,6.0,0.0024943417222119484,
840.0,621.0,17.0,2023-02-11,6.0,0.01041041405697267,2023-02-15
852.0,627.0,5.0,2023-01-02,6.0,0.001075533623013557,
853.0,1114.0,10.0,2023-02-01,6.0,0.011389061564701958,2023-02-02
854.0,81.0,13.0,2023-02-23,6.0,0.012387362669838795,
863.0,1489.0,8.0,2023-02-21,6.0,0.025950445853317284,2023-02-22
883.0,157.0,15.0,2023-01-22,6.0,0.013446011175266332,2023-01-24
928.0,580.0,7.0,2023-01-21,6.0,0.0018926592985985065,2023-01-21
938.0,1002.0,18.0,2023-01-01,6.0,0.005757172013673172,2023-01-08
940.0,1152.0,8.0,2023-01-22,6.0,0.018354430090521935,2023-01-22
947.0,1159.0,5.0,2023-02-07,6.0,0.010057826583318163,
950.0,1.0,19.0,2023-02-03,6.0,0.012927323220285062,
960.0,1460.0,9.0,2023-02-01,6.0,0.011804550989898875,
963.0,527.0,8.0,2023-02-26,6.0,0.013844722485964675,
972.0,54.0,19.0,2023-01-31,6.0,0.0035823726339719625,2023-02-05
1004.0,629.0,15.0,2023-02-24,6.0,0.0034747617529645256,2023-02-26
1012.0,105.0,17.0,2023-02-05,6.0,0.016140462931512046,2023-02-10
1016.0,1087.0,6.0,2023-02-14,6.0,0.012337320486451432,2023-02-14
1023.0,751.0,1.0,2023-01-29,6.0,0.017006036897157805,
1031.0,1004.0,1.0,2023-02-22,6.0,0.014143668453573077,2023-02-27
1037.0,1427.0,18.0,2023-01-26,6.0,0.014872489736889358,2023-01-29
1040.0,454.0,3.0,2023-01-01,6.0,0.0013580867251698232,2023-01-01
1050.0,881.0,17.0,2023-02-18,6.0,0.018211085796917978,2023-02-22
1052.0,691.0,18.0,2023-01-14,6.0,0.012493869984166189,2023-01-15
1072.0,582.0,17.0,2023-01-08,6.0,0.009930175272078698,2023-01-09
1086.0,769.0,9.0,2023-01-19,6.0,0.004036274666624093,
1096.0,65.0,4.0,2023-01-28,6.0,0.03022078964074867,
1108.0,1078.0,5.0,2023-01-21,6.0,0.023296500851718437,2023-01-21
1109.0,472.0,19.0,2023-01-15,6.0,0.0026954701892149746,2023-01-22
1117.0,519.0,4.0,2023-02-26,6.0,0.034405601184783266,2023-02-28
1120.0,303.0,6.0,2023-02-25,6.0,0.0006481172365031399,
1138.0,681.0,6.0,2023-02-21,6.0,0.009256883609176397,2023-02-21
1174.0,7.0,15.0,2023-02-23,6.0,0.002109558089705627,2023-02-25
1175.0,1376.0,1.0,2023-02-13,6.0,0.009339272957300504,2023-02-18
1181.0,981.0,4.0,2023-01-03,6.0,0.015796750098533565,2023-01-08
1233.0,233.0,8.0,2023-01-11,6.0,0.009449754555552917,2023-01-12
1240.0,1244.0,19.0,2023-02-20,6.0,0.008596198795455935,
1246.0,436.0,2.0,2023-01-29,6.0,0.017186806348157797,
1252.0,418.0,10.0,2023-02-10,6.0,0.008080182194997145,
1257.0,1399.0,1.0,2023-02-11,6.0,0.0013086641594273023,2023-02-17
