user_id,order_id,timestamp
960.0,1.0,2023-02-07 18:13:21
1447.0,6.0,2023-01-12 13:51:32
1325.0,14.0,2023-02-15 20:14:53
102.0,17.0,2023-02-20 12:00:16
94.0,38.0,2023-02-11 16:14:15
1402.0,63.0,2023-01-25 10:22:49
542.0,76.0,2023-01-05 21:56:52
444.0,108.0,2023-01-11 02:49:37
1201.0,133.0,2023-01-12 04:39:31
961.0,136.0,2023-01-21 06:14:11
612.0,200.0,2023-02-25 17:13:27
1245.0,207.0,2023-01-20 23:39:00
1284.0,212.0,2023-01-21 15:47:44
1121.0,218.0,2023-01-16 11:37:27
1351.0,223.0,2023-02-23 23:16:42
650.0,247.0,2023-01-15 10:12:37
85.0,279.0,2023-01-01 18:38:22
65.0,297.0,2023-02-05 16:26:53
272.0,316.0,2023-01-16 14:57:50
1482.0,353.0,2023-01-17 02:26:53
564.0,365.0,2023-02-16 04:03:37
1440.0,385.0,2023-01-30 13:57:32
1129.0,404.0,2023-02-18 18:06:38
973.0,405.0,2023-01-06 01:24:54
1428.0,414.0,2023-01-26 08:33:29
533.0,428.0,2023-02-22 07:59:36
341.0,430.0,2023-01-07 19:22:46
419.0,440.0,2023-01-24 10:52:11
1492.0,444.0,2023-01-29 08:04:21
1486.0,471.0,2023-02-11 10:58:05
547.0,487.0,2023-02-27 20:46:01
266.0,491.0,2023-01-19 09:56:17
689.0,514.0,2023-02-07 13:09:06
405.0,524.0,2023-02-06 03:06:43
144.0,526.0,2023-01-12 04:02:30
1172.0,528.0,2023-02-02 17:10:05
1141.0,564.0,2023-01-24 22:47:57
808.0,609.0,2023-01-03 23:58:57
1445.0,624.0,2023-02-13 16:37:50
554.0,648.0,2023-02-28 04:22:24
1110.0,649.0,2023-01-18 00:46:47
920.0,661.0,2023-02-07 20:58:32
1159.0,670.0,2023-02-16 03:56:21
274.0,680.0,2023-02-07 11:13:30
1240.0,682.0,2023-02-07 14:46:19
85.0,714.0,2023-02-21 10:13:41
623.0,753.0,2023-01-28 06:31:05
1107.0,760.0,2023-01-23 09:36:23
227.0,788.0,2023-01-08 23:33:07
33.0,790.0,2023-01-15 07:05:47
1069.0,794.0,2023-01-02 19:39:29
1178.0,813.0,2023-01-05 20:08:21
1098.0,822.0,2023-02-28 03:15:09
621.0,840.0,2023-02-11 00:49:32
627.0,852.0,2023-01-02 18:10:37
81.0,854.0,2023-02-23 05:58:23
1489.0,863.0,2023-02-21 11:34:28
157.0,883.0,2023-01-22 11:48:09
